f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f jL1m jL1f jL2m jL2f jL11m jL11f jL21m jL21f jVINm jVINf jVINm jVINf 
0.00811131 0.0456542 84.1771 0.0501977 174.18 0.0507293 84.7319 1 1.18532e-16 0.0507048 174.238 1 90 0.996623 -2.90535 0.0456542 -95.8229 0.996187 87.0972 0.0501977 -5.82034 0.996623 177.095 0.996187 -92.9028
0.00830218 0.0467182 84.0409 0.0513664 174.044 0.0519116 84.6088 1 1.09979e-16 0.0518853 174.103 1 90 0.996464 -2.973 0.0467182 -95.9591 0.996007 87.0297 0.0513664 -5.95634 0.996464 177.027 0.996007 -92.9703
0.00849753 0.0478064 83.9016 0.0525618 173.905 0.0531209 84.4828 1 -1.78757e-16 0.0530928 173.965 1 90 0.996297 -3.0422 0.0478064 -96.0984 0.995819 86.9607 0.0525618 -6.09547 0.996297 176.958 0.995819 -93.0393
0.00869749 0.0489194 83.7591 0.0537844 173.762 0.0543578 84.3539 1 1.28435e-16 0.0543277 173.825 1 90 0.996122 -3.11296 0.0489194 -96.2409 0.995622 86.8902 0.0537844 -6.2378 0.996122 176.887 0.995622 -93.1098
0.00890215 0.0500578 83.6132 0.0550346 173.617 0.0556229 84.2221 1 -6.94197e-17 0.0555906 173.68 1 90 0.995939 -3.18534 0.0500578 -96.3868 0.995416 86.818 0.0550346 -6.3834 0.995939 176.815 0.995416 -93.182
0.00911163 0.0512221 83.464 0.0563133 173.468 0.0569168 84.0872 1 -1.87282e-16 0.0568821 173.533 1 90 0.995748 -3.25935 0.0512221 -96.536 0.9952 86.7443 0.0563133 -6.53235 0.995748 176.741 0.9952 -93.2557
0.00932603 0.0524127 83.3114 0.0576208 173.315 0.05824 83.9493 1 -2.09707e-16 0.0582029 173.382 1 90 0.995547 -3.33504 0.0524127 -96.6886 0.994973 86.6688 0.0576208 -6.68471 0.995547 176.665 0.994973 -93.3312
0.00954548 0.0536304 83.1553 0.0589578 173.159 0.0595932 83.8082 1 1.83707e-16 0.0595534 173.228 1 90 0.995337 -3.41244 0.0536304 -96.8447 0.994737 86.5917 0.0589578 -6.84055 0.995337 176.588 0.994737 -93.4083
0.0097701 0.0548756 82.9956 0.060325 173 0.060977 83.6638 1 -1.42103e-16 0.0609344 173.07 1 90 0.995118 -3.49158 0.0548756 -97.0044 0.994489 86.5129 0.060325 -6.99996 0.995118 176.508 0.994489 -93.4871
0.01 0.0561489 82.8322 0.0617229 172.837 0.0623921 83.5162 1 8.73761e-17 0.0623464 172.909 1 90 0.994888 -3.5725 0.0561489 -97.1678 0.99423 86.4323 0.0617229 -7.16301 0.994888 176.427 0.99423 -93.5677
0.0102353 0.0574508 82.6651 0.0631522 172.67 0.063839 83.3652 1 2.91152e-17 0.0637901 172.744 1 90 0.994647 -3.65524 0.0574508 -97.3349 0.993959 86.3499 0.0631522 -7.32978 0.994647 176.345 0.993959 -93.6501
0.0104762 0.0587821 82.4942 0.0646134 172.5 0.0653185 83.2107 1 -2.42151e-16 0.0652661 172.575 1 90 0.994396 -3.73983 0.0587821 -97.5058 0.993675 86.2656 0.0646134 -7.50035 0.994396 176.26 0.993675 -93.7344
0.0107227 0.0601432 82.3194 0.0661073 172.325 0.0668312 83.0527 1 -2.45589e-16 0.0667751 172.402 1 90 0.994132 -3.82631 0.0601432 -97.6806 0.993378 86.1795 0.0661073 -7.67479 0.994132 176.174 0.993378 -93.8205
