f 1m 1f 2m 2f 3m 3f jL1m jL1f jL2m jL2f jV0300m jV0300f 
1752.58 30.0003 0.00433595 2 90 2 90 0.000514589 61.9311 0.000229039 -97.5903 3.00024 -179.991
1762.59 30.0003 0.00431133 2 90 2 90 0.000511667 61.9311 0.000227738 -97.5903 3.00024 -179.991
1772.59 30.0003 0.00428699 2 90 2 90 0.000508778 61.9311 0.000226453 -97.5904 3.00024 -179.991
1782.6 30.0003 0.00426292 2 90 2 90 0.000505921 61.9311 0.000225181 -97.5904 3.00024 -179.991
1792.61 30.0003 0.00423911 2 90 2 90 0.000503097 61.931 0.000223924 -97.5904 3.00024 -179.992
1802.62 30.0003 0.00421558 2 90 2 90 0.000500303 61.931 0.00022268 -97.5904 3.00024 -179.992
1812.63 30.0003 0.0041923 2 90 2 90 0.000497541 61.931 0.000221451 -97.5905 3.00023 -179.992
1822.64 30.0003 0.00416928 2 90 2 90 0.000494808 61.931 0.000220235 -97.5905 3.00023 -179.992
1832.65 30.0003 0.00414651 2 90 2 90 0.000492106 61.931 0.000219032 -97.5905 3.00023 -179.992
1842.66 30.0003 0.00412398 2 90 2 90 0.000489433 61.931 0.000217842 -97.5905 3.00023 -179.992
1852.67 30.0003 0.0041017 2 90 2 90 0.000486789 61.9309 0.000216665 -97.5905 3.00023 -179.992
1862.68 30.0003 0.00407966 2 90 2 90 0.000484173 61.9309 0.000215501 -97.5906 3.00023 -179.992
1872.68 30.0003 0.00405786 2 90 2 90 0.000481586 61.9309 0.000214349 -97.5906 3.00023 -179.992
1882.69 30.0003 0.00403629 2 90 2 90 0.000479025 61.9309 0.00021321 -97.5906 3.00023 -179.992
1892.7 30.0003 0.00401494 2 90 2 90 0.000476492 61.9309 0.000212082 -97.5906 3.00022 -179.992
1902.71 30.0003 0.00399382 2 90 2 90 0.000473986 61.9308 0.000210967 -97.5906 3.00022 -179.992
1912.72 30.0003 0.00397292 2 90 2 90 0.000471506 61.9308 0.000209863 -97.5907 3.00022 -179.992
1922.73 30.0003 0.00395224 2 90 2 90 0.000469051 61.9308 0.00020877 -97.5907 3.00022 -179.992
1932.74 30.0003 0.00393177 2 90 2 90 0.000466622 61.9308 0.000207689 -97.5907 3.00022 -179.992
1942.75 30.0003 0.00391152 2 90 2 90 0.000464218 61.9308 0.000206619 -97.5907 3.00022 -179.992
1952.76 30.0003 0.00389147 2 90 2 90 0.000461839 61.9308 0.00020556 -97.5908 3.00022 -179.992
1962.77 30.0003 0.00387162 2 90 2 90 0.000459484 61.9307 0.000204512 -97.5908 3.00022 -179.992
1972.77 30.0003 0.00385198 2 90 2 90 0.000457153 61.9307 0.000203474 -97.5908 3.00022 -179.992
1982.78 30.0003 0.00383254 2 90 2 90 0.000454845 61.9307 0.000202447 -97.5908 3.00021 -179.992
1992.79 30.0003 0.00381329 2 90 2 90 0.000452561 61.9307 0.00020143 -97.5908 3.00021 -179.992
2002.8 30.0003 0.00379423 2 90 2 90 0.000450299 61.9307 0.000200424 -97.5908 3.00021 -179.992
2012.81 30.0003 0.00377536 2 90 2 90 0.00044806 61.9307 0.000199427 -97.5909 3.00021 -179.992
2022.82 30.0003 0.00375668 2 90 2 90 0.000445843 61.9306 0.00019844 -97.5909 3.00021 -179.992
2032.83 30.0003 0.00373818 2 90 2 90 0.000443648 61.9306 0.000197463 -97.5909 3.00021 -179.993
2042.84 30.0003 0.00371987 2 90 2 90 0.000441474 61.9306 0.000196496 -97.5909 3.00021 -179.993
2052.85 30.0003 0.00370173 2 90 2 90 0.000439322 61.9306 0.000195538 -97.5909 3.00021 -179.993
2062.86 30.0003 0.00368377 2 90 2 90 0.00043719 61.9306 0.000194589 -97.591 3.00021 -179.993
2072.86 30.0003 0.00366598 2 90 2 90 0.000435079 61.9306 0.000193649 -97.591 3.0002 -179.993
2082.87 30.0003 0.00364837 2 90 2 90 0.000432988 61.9306 0.000192719 -97.591 3.0002 -179.993
2092.88 30.0003 0.00363092 2 90 2 90 0.000430918 61.9305 0.000191797 -97.591 3.0002 -179.993
2102.89 30.0003 0.00361364 2 90 2 90 0.000428867 61.9305 0.000190884 -97.591 3.0002 -179.993
2112.9 30.0003 0.00359652 2 90 2 90 0.000426835 61.9305 0.00018998 -97.591 3.0002 -179.993
2122.91 30.0002 0.00357956 2 90 2 90 0.000424823 61.9305 0.000189084 -97.5911 3.0002 -179.993
2132.92 30.0002 0.00356276 2 90 2 90 0.000422829 61.9305 0.000188197 -97.5911 3.0002 -179.993
2142.93 30.0002 0.00354612 2 90 2 90 0.000420854 61.9305 0.000187318 -97.5911 3.0002 -179.993
2152.94 30.0002 0.00352964 2 90 2 90 0.000418898 61.9305 0.000186447 -97.5911 3.0002 -179.993
2162.95 30.0002 0.0035133 2 90 2 90 0.000416959 61.9304 0.000185584 -97.5911 3.0002 -179.993
