f 1m 1f 2m 2f jV0200m jV0200f 
109.75 7.39167 42.3395 10 -0 7.39167 -137.66
112.332 7.46907 41.6768 10 -0 7.46907 -138.323
114.976 7.54527 41.016 10 -0 7.54527 -138.984
117.681 7.62022 40.3572 10 -0 7.62022 -139.643
120.45 7.69389 39.7009 10 -0 7.69389 -140.299
123.285 7.76625 39.0474 10 -0 7.76625 -140.953
126.186 7.83725 38.3971 10 -0 7.83725 -141.603
129.155 7.90688 37.7502 10 -0 7.90688 -142.25
132.194 7.9751 37.107 10 -0 7.9751 -142.893
135.305 8.0419 36.4679 10 -0 8.0419 -143.532
138.489 8.10725 35.8332 10 -0 8.10725 -144.167
141.747 8.17114 35.2031 10 -0 8.17114 -144.797
145.083 8.23356 34.5778 10 -0 8.23356 -145.422
148.497 8.2945 33.9577 10 -0 8.2945 -146.042
151.991 8.35394 33.3431 10 -0 8.35394 -146.657
155.568 8.4119 32.734 10 -0 8.4119 -147.266
159.228 8.46836 32.1308 10 -0 8.46836 -147.869
162.975 8.52333 31.5337 10 -0 8.52333 -148.466
166.81 8.57681 30.9428 10 -0 8.57681 -149.057
170.735 8.62881 30.3584 10 -0 8.62881 -149.642
174.753 8.67934 29.7805 10 -0 8.67934 -150.219
178.865 8.72841 29.2095 10 -0 8.72841 -150.791
183.074 8.77604 28.6453 10 -0 8.77604 -151.355
187.382 8.82224 28.0882 10 -0 8.82224 -151.912
191.791 8.86702 27.5383 10 -0 8.86702 -152.462
196.304 8.91041 26.9956 10 -0 8.91041 -153.004
200.923 8.95243 26.4603 10 -0 8.95243 -153.54
205.651 8.9931 25.9325 10 -0 8.9931 -154.067
210.49 9.03244 25.4122 10 -0 9.03244 -154.588
215.443 9.07048 24.8995 10 -0 9.07048 -155.101
220.513 9.10724 24.3944 10 -0 9.10724 -155.606
225.702 9.14275 23.897 10 -0 9.14275 -156.103
231.013 9.17704 23.4073 10 -0 9.17704 -156.593
236.449 9.21013 22.9253 10 -0 9.21013 -157.075
242.013 9.24206 22.4511 10 -0 9.24206 -157.549
247.708 9.27284 21.9846 10 -0 9.27284 -158.015
253.536 9.30252 21.5259 10 -0 9.30252 -158.474
259.502 9.33111 21.0749 10 -0 9.33111 -158.925
265.609 9.35865 20.6316 10 -0 9.35865 -159.368
271.859 9.38517 20.196 10 -0 9.38517 -159.804
278.256 9.41069 19.7681 10 -0 9.41069 -160.232
284.804 9.43525 19.3477 10 -0 9.43525 -160.652
291.505 9.45888 18.9349 10 -0 9.45888 -161.065
298.365 9.48159 18.5296 10 -0 9.48159 -161.47
305.386 9.50343 18.1318 10 -0 9.50343 -161.868
312.572 9.52442 17.7414 10 -0 9.52442 -162.259
319.927 9.54458 17.3583 10 -0 9.54458 -162.642
327.455 9.56394 16.9824 10 -0 9.56394 -163.018
335.16 9.58254 16.6137 10 -0 9.58254 -163.386
343.047 9.60039 16.2522 10 -0 9.60039 -163.748
351.119 9.61753 15.8976 10 -0 9.61753 -164.102
359.381 9.63397 15.55 10 -0 9.63397 -164.45
367.838 9.64974 15.2092 10 -0 9.64974 -164.791
376.494 9.66487 14.8753 10 -0 9.66487 -165.125
385.353 9.67938 14.5479 10 -0 9.67938 -165.452
394.421 9.69329 14.2272 10 -0 9.69329 -165.773
403.702 9.70662 13.913 10 -0 9.70662 -166.087
413.201 9.7194 13.6051 10 -0 9.7194 -166.395
422.924 9.73164 13.3036 10 -0 9.73164 -166.696
432.876 9.74338 13.0083 10 -0 9.74338 -166.992
443.062 9.75461 12.719 10 -0 9.75461 -167.281
453.488 9.76538 12.4358 10 -0 9.76538 -167.564
464.159 9.77569 12.1585 10 -0 9.77569 -167.841
475.081 9.78556 11.887 10 -0 9.78556 -168.113
486.26 9.795 11.6213 10 -0 9.795 -168.379
497.702 9.80405 11.3611 10 -0 9.80405 -168.639
509.414 9.81271 11.1065 10 -0 9.81271 -168.893
521.401 9.82099 10.8573 10 -0 9.82099 -169.143
533.67 9.82892 10.6134 10 -0 9.82892 -169.387
546.228 9.83651 10.3748 10 -0 9.83651 -169.625
559.081 9.84377 10.1413 10 -0 9.84377 -169.859
572.237 9.85071 9.91281 10 -0 9.85071 -170.087
585.702 9.85735 9.68928 10 -0 9.85735 -170.311
599.484 9.8637 9.4706 10 -0 9.8637 -170.529
613.591 9.86978 9.25669 10 -0 9.86978 -170.743
628.029 9.87558 9.04744 10 -0 9.87558 -170.953
642.807 9.88114 8.84276 10 -0 9.88114 -171.157
657.933 9.88645 8.64257 10 -0 9.88645 -171.357
673.415 9.89153 8.44678 10 -0 9.89153 -171.553
689.261 9.89638 8.25529 10 -0 9.89638 -171.745
705.48 9.90102 8.06803 10 -0 9.90102 -171.932
722.081 9.90546 7.8849 10 -0 9.90546 -172.115
739.072 9.9097 7.70583 10 -0 9.9097 -172.294
756.463 9.91375 7.53073 10 -0 9.91375 -172.469
774.264 9.91762 7.35952 10 -0 9.91762 -172.64
792.483 9.92132 7.19212 10 -0 9.92132 -172.808
811.131 9.92486 7.02844 10 -0 9.92486 -172.972
830.218 9.92823 6.86842 10 -0 9.92823 -173.132
849.753 9.93146 6.71197 10 -0 9.93146 -173.288
869.749 9.93455 6.55902 10 -0 9.93455 -173.441
890.215 9.93749 6.4095 10 -0 9.93749 -173.59
911.163 9.94031 6.26333 10 -0 9.94031 -173.737
932.603 9.943 6.12044 10 -0 9.943 -173.88
954.548 9.94557 5.98077 10 -0 9.94557 -174.019
977.01 9.94802 5.84423 10 -0 9.94802 -174.156
1000 9.95037 5.71077 10 -0 9.95037 -174.289
1023.53 9.95261 5.58032 10 -0 9.95261 -174.42
1047.62 9.95475 5.45281 10 -0 9.95475 -174.547
1072.27 9.95679 5.32818 10 -0 9.95679 -174.672
1097.5 9.95874 5.20636 10 -0 9.95874 -174.794
1123.32 9.96061 5.0873 10 -0 9.96061 -174.913
1149.76 9.96239 4.97094 10 -0 9.96239 -175.029
1176.81 9.96409 4.85721 10 -0 9.96409 -175.143
1204.5 9.96571 4.74606 10 -0 9.96571 -175.254
1232.85 9.96726 4.63743 10 -0 9.96726 -175.363
1261.86 9.96874 4.53126 10 -0 9.96874 -175.469
1291.55 9.97016 4.42751 10 -0 9.97016 -175.572
1321.94 9.97151 4.32611 10 -0 9.97151 -175.674
1353.05 9.9728 4.22702 10 -0 9.9728 -175.773
1384.89 9.97403 4.13018 10 -0 9.97403 -175.87
1417.47 9.97521 4.03554 10 -0 9.97521 -175.964
1450.83 9.97633 3.94306 10 -0 9.97633 -176.057
1484.97 9.9774 3.85269 10 -0 9.9774 -176.147
1519.91 9.97842 3.76437 10 -0 9.97842 -176.236
1555.68 9.9794 3.67807 10 -0 9.9794 -176.322
1592.28 9.98034 3.59373 10 -0 9.98034 -176.406
1629.75 9.98123 3.51132 10 -0 9.98123 -176.489
1668.1 9.98208 3.43079 10 -0 9.98208 -176.569
1707.35 9.98289 3.3521 10 -0 9.98289 -176.648
1747.53 9.98367 3.2752 10 -0 9.98367 -176.725
1788.65 9.98441 3.20007 10 -0 9.98441 -176.8
1830.74 9.98511 3.12664 10 -0 9.98511 -176.873
1873.82 9.98579 3.0549 10 -0 9.98579 -176.945
1917.91 9.98643 2.9848 10 -0 9.98643 -177.015
1963.04 9.98705 2.9163 10 -0 9.98705 -177.084
2009.23 9.98764 2.84936 10 -0 9.98764 -177.151
2056.51 9.9882 2.78396 10 -0 9.9882 -177.216
2104.9 9.98873 2.72005 10 -0 9.98873 -177.28
2154.43 9.98924 2.65761 10 -0 9.98924 -177.342
2205.13 9.98973 2.5966 10 -0 9.98973 -177.403
2257.02 9.9902 2.53698 10 -0 9.9902 -177.463
2310.13 9.99064 2.47873 10 -0 9.99064 -177.521
2364.49 9.99107 2.42181 10 -0 9.99107 -177.578
2420.13 9.99147 2.3662 10 -0 9.99147 -177.634
2477.08 9.99186 2.31186 10 -0 9.99186 -177.688
2535.36 9.99223 2.25876 10 -0 9.99223 -177.741
2595.02 9.99258 2.20689 10 -0 9.99258 -177.793
2656.09 9.99292 2.1562 10 -0 9.99292 -177.844
2718.59 9.99324 2.10667 10 -0 9.99324 -177.893
2782.56 9.99355 2.05828 10 -0 9.99355 -177.942
2848.04 9.99384 2.011 10 -0 9.99384 -177.989
2915.05 9.99412 1.9648 10 -0 9.99412 -178.035
2983.65 9.99439 1.91967 10 -0 9.99439 -178.08
3053.86 9.99464 1.87557 10 -0 9.99464 -178.124
3125.72 9.99489 1.83248 10 -0 9.99489 -178.168
3199.27 9.99512 1.79038 10 -0 9.99512 -178.21
3274.55 9.99534 1.74924 10 -0 9.99534 -178.251
3351.6 9.99555 1.70905 10 -0 9.99555 -178.291
3430.47 9.99575 1.66978 10 -0 9.99575 -178.33
3511.19 9.99595 1.63141 10 -0 9.99595 -178.369
3593.81 9.99613 1.59393 10 -0 9.99613 -178.406
3678.38 9.99631 1.5573 10 -0 9.99631 -178.443
3764.94 9.99647 1.52152 10 -0 9.99647 -178.478
